state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
NM,16,0.25617043772088915,217000,$12.00,May 2024 through April 2025,2797
NV,16,0.19452647257074834,269000,$12.00,May 2024 through April 2025,2654
NY,16,NA,NA,$15.50,May 2024 through April 2025,NA
OH,16,0.17896047540572732,914000,$10.70,May 2024 through April 2025,5268
OK,16,0.2703979876594496,457000,$7.25,May 2024 through April 2025,2975
OR,16,0.08543567634547448,155000,$14.70,May 2024 through April 2025,3535
PA,16,0.16753931537987204,939000,$7.25,May 2024 through April 2025,5224
RI,16,0.12632996359496954,62000,$15.00,May 2024 through April 2025,1730
SC,16,0.2136936202299008,471000,$7.25,May 2024 through April 2025,2875
SD,16,0.13882165841503605,60000,$11.50,May 2024 through April 2025,2568
TN,16,0.19633440571233218,587000,$7.25,May 2024 through April 2025,3312
TX,16,0.2297970490653286,3060000,$7.25,May 2024 through April 2025,12063
UT,16,0.17511205396317028,275000,$7.25,May 2024 through April 2025,3979
VA,16,0.14503719043401536,562000,$12.41,May 2024 through April 2025,3598
VT,16,0.08990568296356276,26000,$14.01,May 2024 through April 2025,2520
WA,16,NA,NA,$16.66,May 2024 through April 2025,NA
WI,16,0.15173647228314102,423000,$7.25,May 2024 through April 2025,3757
WV,16,0.2683423144240987,184000,$8.75,May 2024 through April 2025,3141
WY,16,0.20342640491910063,49000,$7.25,May 2024 through April 2025,2710
AK,17,0.10829358641253238,33000,$11.91,May 2024 through April 2025,2221
AL,17,0.28657490998075735,599000,$7.25,May 2024 through April 2025,2522
AR,17,0.3152514570307079,401000,$11.00,May 2024 through April 2025,2940
AZ,17,0.19597614286226905,614000,$14.70,May 2024 through April 2025,3175
CA,17,NA,NA,$16.50,May 2024 through April 2025,NA
CO,17,0.10032443055507254,269000,$14.81,May 2024 through April 2025,2526
CT,17,NA,NA,$16.35,May 2024 through April 2025,NA
DC,17,NA,NA,$17.50,May 2024 through April 2025,NA
DE,17,0.2039535807267119,90000,$15.00,May 2024 through April 2025,2044
FL,17,0.2661804926468106,2411000,$13.00,May 2024 through April 2025,6499
GA,17,0.25200315575709,1139000,$7.25,May 2024 through April 2025,3481
HI,17,0.198331257416114,111000,$14.00,May 2024 through April 2025,2769
IA,17,0.2381429944922861,341000,$7.25,May 2024 through April 2025,2426
ID,17,0.22585138739455657,194000,$7.25,May 2024 through April 2025,3982
IL,17,0.17803676174769198,1011000,$15.00,May 2024 through April 2025,5488
IN,17,0.2300632604550969,701000,$7.25,May 2024 through April 2025,3383
KS,17,0.2447703728369668,326000,$7.25,May 2024 through April 2025,2819
KY,17,0.2975018463105232,522000,$7.25,May 2024 through April 2025,1977
LA,17,0.3593680756093936,615000,$7.25,May 2024 through April 2025,2837
MA,17,0.10126999068635238,338000,$15.00,May 2024 through April 2025,4110
MD,17,0.1445781411530654,410000,$15.00,May 2024 through April 2025,2462
ME,17,0.140238663502266,83000,$14.65,May 2024 through April 2025,1481
MI,17,0.21569050271250323,932000,$12.48,May 2024 through April 2025,4400
MN,17,0.1319154894116532,354000,$11.13,May 2024 through April 2025,3160
MO,17,0.23759160427816492,654000,$13.75,May 2024 through April 2025,3136
MS,17,0.3852059956788603,435000,$7.25,May 2024 through April 2025,2769
MT,17,0.18736538794469826,88000,$10.55,May 2024 through April 2025,3384
NC,17,0.28091582661518205,1285000,$7.25,May 2024 through April 2025,3547
ND,17,0.14580036597691953,54000,$7.25,May 2024 through April 2025,3415
NE,17,0.1948372605143834,180000,$13.50,May 2024 through April 2025,3079
NH,17,0.13714198486904006,93000,$7.25,May 2024 through April 2025,2866
NJ,17,0.1589041412359303,653000,$15.49,May 2024 through April 2025,3443
NM,17,0.2974861976657984,252000,$12.00,May 2024 through April 2025,2797
NV,17,0.23266544526393151,322000,$12.00,May 2024 through April 2025,2654
